image_id,image_url
image_cropper_1727346731365,https://solsticeprod.s3.ap-south-1.amazonaws.com/digital-profiles/244/image_cropper_1727346731365.jpg
image_cropper_1729245980477,https://solsticeprod.s3.ap-south-1.amazonaws.com/digital-profiles/722/image_cropper_1729245980477.jpg
Mother_s_bedroom_002,https://solsticeprod.s3.ap-south-1.amazonaws.com/https%3A/%2Fap-south-1.console.aws.amazon.com/s3/buckets/solsticedev%3Fregion%3Dap-south-1%26bucketType%3Dgeneral%26prefix%3Dcms/%26showversions%3Dfalse/Mother_s%20bedroom%20002.png
image_cropper_1729148792119,https://solsticeprod.s3.ap-south-1.amazonaws.com/digital-profiles/626/image_cropper_1729148792119.jpg
image_cropper_1729701347423,https://solsticeprod.s3.ap-south-1.amazonaws.com/digital-profiles/1342/image_cropper_1729701347423.jpg
image_cropper_1728568941122,https://solsticeprod.s3.ap-south-1.amazonaws.com/digital-profiles/443/image_cropper_1728568941122.jpg
image_cropper_1729690853087,https://solsticeprod.s3.ap-south-1.amazonaws.com/digital-profiles/1277/image_cropper_1729690853087.jpg
image_cropper_1727255773371,https://solsticeprod.s3.ap-south-1.amazonaws.com/digital-profiles/260/image_cropper_1727255773371.jpg
image_cropper_1727356559472,https://solsticeprod.s3.ap-south-1.amazonaws.com/digital-profiles/290/image_cropper_1727356559472.jpg
image_cropper_1727260637915,https://solsticeprod.s3.ap-south-1.amazonaws.com/digital-profiles/21/image_cropper_1727260637915.jpg
insta_assets_crop_f1e05f50-d4a2-4b8c-afa5-29bf8d07c5a6160360660780456133,https://solsticeprod.s3.ap-south-1.amazonaws.com/digital-profiles/1667/insta_assets_crop_f1e05f50-d4a2-4b8c-afa5-29bf8d07c5a6160360660780456133.jpg
insta_assets_crop_b9d5dc79-8147-4887-8240-40c2e295ae324712217572686184757,https://solsticeprod.s3.ap-south-1.amazonaws.com/digital-profiles/1570/insta_assets_crop_b9d5dc79-8147-4887-8240-40c2e295ae324712217572686184757.jpg
